,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,,,,,,Total Population,,,,,Hispanic/Latino (of any race),,,,,White non-Hispanic,,,,,Black non-Hispanic,,,,,Asian non-Hispanic,,,,
Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration,Hsp_10,Hsp_20,Pop Change,Natural Change,Net Migration,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration,BNH_10,BNH_20,Pop Change,Natural Change,Net Migration,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
72,NTA2020,Brooklyn,BK5591,Prospect Park,9,0,15,15,-12,27,0,5,5,0,5,0,2,2,-10,12,0,7,7,-2,9,0,0,0,0,0
73,NTA2020,Brooklyn,BK5691,Barren Island-Floyd Bennett Field,9,37,21,-16,-2,-14,0,3,3,0,3,25,12,-13,-2,-11,12,5,-7,0,-7,0,0,0,0,0
74,NTA2020,Brooklyn,BK5692,Jamaica Bay (West),9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,NTA2020,Brooklyn,BK5693,Shirley Chisholm State Park,9,0,0,0,-1,1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,NTA2020,Bronx,BX0101,Mott Haven-Port Morris,0,"52,413","57,718","5,305","5,515",-210,"37,869","38,852",983,"3,736","-2,753",867,"1,569",702,101,601,"12,927","15,455","2,528","1,576",952,214,476,262,68,194
77,NTA2020,Bronx,BX0102,Melrose,0,"39,214","42,651","3,437","4,444","-1,007","27,094","28,059",965,"2,942","-1,977",571,973,402,97,305,"10,787","12,111","1,324","1,331",-7,314,426,112,52,60
78,NTA2020,Bronx,BX0201,Hunts Point,0,"15,458","15,131",-327,"1,673","-2,000","11,325","10,715",-610,"1,183","-1,793",205,264,59,2,57,"3,676","3,752",76,472,-396,87,108,21,15,6
79,NTA2020,Bronx,BX0202,Longwood,0,"37,942","40,289","2,347","4,006","-1,659","28,511","28,773",262,"2,667","-2,405",519,690,171,73,98,"8,239","9,608","1,369","1,187",182,235,294,59,33,26
80,NTA2020,Bronx,BX0291,North & South Brother Islands,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,NTA2020,Bronx,BX0301,Morrisania,0,"30,870","37,607","6,737","3,789","2,948","17,395","20,576","3,181","2,305",876,450,709,259,48,211,"12,424","15,107","2,683","1,395","1,288",134,184,50,26,24
82,NTA2020,Bronx,BX0302,Claremont Village-Claremont (East),0,"22,174","24,553","2,379","2,703",-324,"11,363","12,630","1,267","1,389",-122,203,295,92,26,66,"10,285","10,938",653,"1,279",-626,40,69,29,9,20
83,NTA2020,Bronx,BX0303,Crotona Park East,0,"26,143","30,158","4,015","2,877","1,138","16,939","18,748","1,809","1,815",-6,231,488,257,58,199,"8,452","9,873","1,421",946,475,191,254,63,37,26
84,NTA2020,Bronx,BX0391,Crotona Park,9,0,34,34,11,23,0,18,18,7,11,0,5,5,0,5,0,10,10,3,7,0,0,0,1,-1
85,NTA2020,Bronx,BX0401,Concourse-Concourse Village,0,"66,731","69,387","2,656","6,563","-3,907","39,009","41,807","2,798","4,886","-2,088","1,222","1,941",719,58,661,"23,740","22,108","-1,632","1,430","-3,062","1,492","1,730",238,230,8
86,NTA2020,Bronx,BX0402,Highbridge,0,"30,945","32,456","1,511","3,719","-2,208","20,033","21,431","1,398","2,736","-1,338",402,631,229,41,188,"10,006","9,444",-562,917,"-1,479",132,247,115,26,89
87,NTA2020,Bronx,BX0403,Mount Eden-Claremont (West),0,"48,145","49,651","1,506","6,438","-4,932","32,847","34,999","2,152","4,759","-2,607",563,711,148,69,79,"13,440","12,221","-1,219","1,505","-2,724",607,619,12,93,-81
88,NTA2020,Bronx,BX0491,Yankee Stadium-Macombs Dam Park,9,0,19,19,15,4,0,15,15,9,6,0,0,0,0,0,0,4,4,0,4,0,0,0,6,-6
89,NTA2020,Bronx,BX0492,Claremont Park,9,0,10,10,0,10,0,1,1,1,0,0,0,0,0,0,0,7,7,-3,10,0,0,0,0,0
90,NTA2020,Bronx,BX0501,University Heights (South)-Morris Heights,0,"52,276","54,682","2,406","5,984","-3,578","33,373","36,202","2,829","4,588","-1,759",723,818,95,28,67,"16,829","15,403","-1,426","1,209","-2,635",684,854,170,130,40
91,NTA2020,Bronx,BX0502,Mount Hope,0,"45,279","49,099","3,820","6,196","-2,376","30,520","33,082","2,562","4,345","-1,783",585,736,151,54,97,"12,410","13,375",965,"1,662",-697,839,611,-228,118,-346
92,NTA2020,Bronx,BX0503,Fordham Heights,0,"32,268","32,099",-169,"4,586","-4,755","22,771","23,239",468,"3,591","-3,123",531,523,-8,30,-38,"8,026","7,100",-926,875,"-1,801",400,456,56,75,-19
